Time,bcglpid01,bcglpiw01,bcocpl01,bcocpl02,bcocpl41,bcocpl42,bcpxkv01,bcpxkv02,bcpxkv03,bcrepo01
2022-01-04T19:40:00+07:00,0,0,0,0,0,0,0.0175,0,0.0025,0
2022-01-04T20:00:00+07:00,0,0,0.01,0,0,0,0.0425,0,0,0
2022-01-04T20:20:00+07:00,0,0,0,0,0.005,0,0.02,0,0,0.015
2022-01-04T20:40:00+07:00,0,0,0.04,0,0,0,0,0.0175,0,0.06
2022-01-04T21:00:00+07:00,0,0,0,0,0,0,0,0,0,0
2022-01-04T21:20:00+07:00,0,0,0.055,0.005,0.03,0,0.0025,0,0.02,0
2022-01-04T21:40:00+07:00,0,0,0,0,0,0,0,0,0.0075,0.065
2022-01-04T22:00:00+07:00,0,0,0.005,0,0,0,0.0175,0,0.005,0.025
2022-01-04T22:20:00+07:00,0,0,0,0,0,0,0.0175,0,0,0.005
2022-01-04T22:40:00+07:00,0,0,0,0,0,0,0.015,0.0125,0.0025,0
2022-01-04T23:00:00+07:00,0,0,0.005,0,0,0,0,0,0.0025,0.055
2022-01-04T23:20:00+07:00,0,0,0.005,0,0.035,0,0,0,0,0.02
2022-01-04T23:40:00+07:00,0,0,0,0,0.005,0,0,0,0.0125,0.04
2022-01-05T00:00:00+07:00,0,0,0,0,0,0,0.015,0,0.01,0.015
2022-01-05T00:20:00+07:00,0,0,0.015,0,0.105,0,0,0,0.045,0
2022-01-05T00:40:00+07:00,0,0,0.035,0,0,0,0,0,0,0.035
2022-01-05T01:00:00+07:00,0,0,0,0,0,0.045,0.04,0,0,0
2022-01-05T01:20:00+07:00,0,0,0.02,0,0,0.005,0.0425,0,0.0175,0
2022-01-05T01:40:00+07:00,0.001666667,0,0,0,0.02,0,0,0,0.0275,0.075
2022-01-05T02:00:00+07:00,0,0,0.01,0,0,0,0.0125,0.0375,0.035,0.015
2022-01-05T02:20:00+07:00,0,0,0,0,0,0,0.01,0,0,0.02
2022-01-05T02:40:00+07:00,0,0,0,0.005,0,0,0,0,0,0
2022-01-05T03:00:00+07:00,0,0,0,0,0,0,0.015,0.0075,0.0025,0.005
2022-01-05T03:20:00+07:00,0,0,0,0,0.03,0,0.0125,0.065,0.0075,0
2022-01-05T03:40:00+07:00,0,0,0,0,0,0,0,0,0,0.02
2022-01-05T04:00:00+07:00,0,0,0,0,0,0,0.0075,0.005,0,0
2022-01-05T04:20:00+07:00,0,0,0.03,0,0,0,0.0175,0,0,0
2022-01-05T04:40:00+07:00,0,0,0,0.005,0,0,0.0275,0,0.0025,0.04
2022-01-05T05:00:00+07:00,0,0,0,0,0,0,0,0,0,0.045
2022-01-05T05:20:00+07:00,0,0,0,0,0.015,0,0,0,0,0
2022-01-05T05:40:00+07:00,0,0,0,0.015,0,0,0.0025,0,0.015,0.01
2022-01-05T06:00:00+07:00,0,0,0.02,0,0,0,0,0.0025,0.01,0.02
2022-01-05T06:20:00+07:00,0,0,0.095,0,0.005,0,0.015,0,0,0.02
2022-01-05T06:40:00+07:00,0,0,0,0,0,0,0,0.025,0.005,0.085
2022-01-05T07:00:00+07:00,0,0.03,0,0,0.005,0,0,0,0.01,0.005
